,Category,Descript
2,inhibition,initial strategies aimed at inhibiting stat3 functions have focused on blocking the action of its activating kinases or sequestering its dna binding ability
3,binding,initial strategies aimed at inhibiting stat3 functions have focused on blocking the action of its activating kinases or sequestering its dna binding ability
5,activation,collectively  the results of present study indicated that sideroxylin was a novel therapeutic agent to combat the proliferation of ovarian cancer cells through the induction of mitochondrial dysfunction and the activation of pi3 k and mapk signal transduction
6,induced,in addition  epa induced a shift in the inactivation curve in a dose dependent manner
7,activation,mechanistically  se cad positive exosomes heterodimerize with ve cadherin on endothelial cells and transduce a novel sequential activation of catenin and nf b signaling
11,activation,immunohistochemical assessment revealed that ovca patients with high intratumoral stat1 activation exhibited poor prognosis compared with patients with low stat1 activation \( p lt 0 05 \)
12,activation,adsocs 1 reduced pd l1 expression on tumors and restored the activation of tumor infiltrating cd8 t cells
13,activation,we investigated whether digitoxin affects a \) specific pathways involved in motility and or activation of different cell types shaping tme  and b \) cancer cell growth and invasiveness in response to tme associated factors
14,activation,digitoxin affected the expression of neither m1 \( cd80 cd68 \) nor m2 \( cd206 cd163 \) activation markers  nor the amount of cell bound il 1 and ccl22
16,activation,persistent activation of stat3 is associated with cancer growth and progression and is also involved in cell resistance to platinum and taxane treatment
17,inhibition,we show that ruxolitinib inhibits stat3 activation and ovarian tumor growth both in ovarian cancer cells and in an ovarian cancer mouse model
18,activation,we show that ruxolitinib inhibits stat3 activation and ovarian tumor growth both in ovarian cancer cells and in an ovarian cancer mouse model
25,activation,our findings suggest that a diet high in plant protein reduces the growth of human ovarian cancer cells in mice compared to a diet high in animal protein  possibly through the lack of activation of the igf akt mtor pathway  and leads to a better prognosis with or without cisplatin treatment
26,activation,evidence from human and animal studies suggests that chronic behavioral stress and resulting activation of the sympathetic nervous system may influence initiation and progression of tumors
27,activation,these data demonstrate the relevance of copy number amplification as a mechanism of kras activation  and uncover the therapeutic potential for targeting of these tumors through combined shp2 and mek inhibition
28,inhibition,these data demonstrate the relevance of copy number amplification as a mechanism of kras activation  and uncover the therapeutic potential for targeting of these tumors through combined shp2 and mek inhibition
31,inhibition,pretreatment of cells with ly294002 \( phosphoinositide 3 kinase inhibitor \) and pd98059 \( mitogen activated protein kinase inhibitor \) reduced hif 1 expression comparable to sb treated cells
33,regulated,the tyrosine kinase wee1 regulates cdc2 activity at the g2 m checkpoint and prevents entry into mitosis in response to dna damage or stalled dna replication
34,activation,2 m associated with caspase 3 activation in an a2780 ovarian cancer cell line
35,activation,this constitutes the first report that prx2 deficiency leads to acceleration of age related or vcd induced ovarian failure by activation of the ros induced jnk pathway
36,inhibition,these findings suggest that prx2 plays an important role in preventing accelerated ovarian failure by inhibiting ros induced jnk activation
