Category,Descript
activation,"Loss of mitochondrial membrane potential and a distinct DNA fragmentation pattern observed following the treatment, suggest that the PSE treatment leads to activation of mitochondrial pathway of apoptosis."
inhibition,'Della Recca' phenol extract showed a dose-dependent inhibiting activity towards cervical cancer HeLa cell line.
activation,"Using Gene Ontology analysis, Kyoto Encyclopedia of Genes and Genomes analysis, and weighted gene co-expression network analysis, 1,263 differentially expressed genes were found that affected the biological processes, including 'cell cycle process', 'signaling pathways', 'immune response', 'cell activation', 'regulation of immune system process' and 'inflammatory response'."
activation,"The mechanisms of apoptosis induction were determined with Annexin-V and AO/EB staining, cleaved caspases (caspase-3, caspase-8, caspase-9) and cleaved PARP activation, reactive oxygen species production (ROS), mitochondrial membrane potential (MMP), intracellular pH (pHi), extracellular pH (pHe), lactate level and cell cycle analysis."
activation,The life cycle of HPV is closely linked to the differentiation state of its host cell and is dependent on the activation of specific pathways of the DNA damage response.
induced,"Meanwhile, western blotting analysis showed that the FA-AAP-CDDP complex induced apoptosis by activating Bax, Cytochrome-c, and Caspase-3, and downregulating Bcl-2, which suggested that the FA-AAP-CDDP complex may induce apoptosis through the endogenetic-mitochondrion signaling apoptosis pathways and intrinsic apoptotic pathways."
induced,"Meanwhile, western blotting analysis showed that the FA-AAP-CDDP complex induced apoptosis by activating Bax, Cytochrome-c, and Caspase-3, and downregulating Bcl-2, which suggested that the FA-AAP-CDDP complex may induce apoptosis through the endogenetic-mitochondrion signaling apoptosis pathways and intrinsic apoptotic pathways."
activation,"BDNFâinduced activation of its receptor tyrosine kinase B (TrkB) is associated with anoikis tolerance, tumor progression and poor prognosis in many types of malignancy."
induced,"By contrast, the knockdown of TrKB expression reversed these changes in AAT cells, induced G0/G1 arrest and suppressed proliferation activity."
suppressed,"By contrast, the knockdown of TrKB expression reversed these changes in AAT cells, induced G0/G1 arrest and suppressed proliferation activity."
activation,"We were able to show that anti-CD40 activated B lymphocytes could trigger secondary T cell responses, dependent on MHC-II expression."
inhibition,The TOP/Â FOP-Flash reporter assay and Western blotting showed SOX17 inhibited the activity of the Wnt/Î²-catenin signaling pathway in cervical cancer.
activation,"Mechanistically, these functions of GLI2 were in part mediated by the activation of AKT pathway."
inhibition,Thymoquinone inhibits the metastasis through activation of JNK and p38.
activation,Thymoquinone inhibits the metastasis through activation of JNK and p38.
activation,15 was increased by ectopic LKB1 or AMPK activation.
binding,"GO enrichment analysis indicated that the DEGs in pre-invasive cervical cancer were primarily associated with the 'protein binding', 'single-stranded DNA-dependent ATPase activity', 'DNA replication origin binding' and 'microtubule binding' terms, whereas the DEGs in invasive cervical cancer were associated with the 'extracellular matrix (ECM) structural constituent', 'heparin binding' and 'integrin binding'."
adhesion,"KEGG enrichment analysis revealed that the pre-invasive DEGs were significantly enriched in the 'cell cycle', 'DNA replication' and 'p53 signaling pathway' terms, while the invasive DEGs were enriched in the 'amoebiasis', 'focal adhesion', 'ECM-receptor interaction' and 'platelet activation' terms."
activation,"KEGG enrichment analysis revealed that the pre-invasive DEGs were significantly enriched in the 'cell cycle', 'DNA replication' and 'p53 signaling pathway' terms, while the invasive DEGs were enriched in the 'amoebiasis', 'focal adhesion', 'ECM-receptor interaction' and 'platelet activation' terms."
induced,"TDZ treatment induced nuclear condensation, mitochondrial membrane potential loss, mitochondrial cytochrome c release, activation of caspase-9 and caspase-3 substantiating mitochondrial pathways of apoptosis in cells."
activation,"TDZ treatment induced nuclear condensation, mitochondrial membrane potential loss, mitochondrial cytochrome c release, activation of caspase-9 and caspase-3 substantiating mitochondrial pathways of apoptosis in cells."
promotes,"In conclusion, CRIP1 promotes cell migration and invasion, mediates EMT and activates the Wnt/Î²âcatenin signaling pathway in CC."
activation,"In conclusion, CRIP1 promotes cell migration and invasion, mediates EMT and activates the Wnt/Î²âcatenin signaling pathway in CC."
inhibition,"High expression of DEK is associated with poor prognosis in many cancer types, suggesting that DEK takes part in oncogenic activities via different molecular pathways, including inhibition of senescence and apoptosis."
